year,month,state_code,boys_total,girls_total,mother_age_20_24,mother_age_25_29,mother_age_30_34,mother_age_35_39,mother_age_40_plus,mother_age_under_20
1989,1,1.0,2595,2404,1540,1421,819,263,48,908
1989,1,2.0,454,484,261,300,186,89,16,86
1989,1,3.0,2724,2607,1549,1576,1028,369,72,737
1989,1,4.0,1510,1453,1017,817,405,109,22,593
1989,1,5.0,22786,21997,11550,13701,9717,3847,665,5303
1989,1,6.0,2129,1971,1067,1262,870,391,45,465
1989,1,7.0,1933,1920,828,1271,1023,350,51,330
1989,1,8.0,447,400,241,279,155,60,7,105
1989,1,9.0,465,468,260,250,170,89,11,153
1989,1,10.0,7978,7691,4307,4844,3050,1064,189,2215
1989,1,11.0,4578,4334,2717,2561,1481,503,79,1571
1989,1,12.0,786,765,447,438,335,150,23,158
1989,1,13.0,634,572,339,383,240,75,13,156
1989,1,14.0,7427,7282,3698,4570,3183,1079,167,2012
1989,1,15.0,3389,3237,1968,2094,1173,367,52,972
1989,1,16.0,1621,1528,878,1113,646,178,16,318
1989,1,17.0,1620,1543,946,1012,656,173,27,349
1989,1,18.0,2190,2117,1444,1228,606,195,30,804
1989,1,19.0,3225,3055,1950,1765,1068,343,64,1090
1989,1,20.0,673,677,396,461,236,78,10,169
1989,1,21.0,3189,3029,1547,1965,1390,497,66,753
1989,1,22.0,3578,3463,1473,2257,1843,682,114,672
1989,1,23.0,5795,5490,3103,3608,2279,716,115,1464
1989,1,24.0,2647,2631,1224,1915,1279,382,55,423
1989,1,25.0,1832,1756,1163,913,527,149,25,811
1989,1,26.0,3240,3023,1792,2004,1110,385,39,933
1989,1,27.0,449,464,259,291,201,60,7,95
1989,1,28.0,965,908,513,644,397,120,18,181
1989,1,29.0,764,729,415,463,303,100,13,199
1989,1,30.0,715,700,351,497,345,103,12,107
1989,1,31.0,5025,4726,1994,3202,2566,942,153,894
1989,1,32.0,1099,1031,642,608,362,144,26,348
1989,1,33.0,11823,11357,5442,7464,5447,2188,416,2223
1989,1,34.0,4149,4000,2480,2405,1408,435,66,1355
1989,1,35.0,400,375,209,273,167,59,3,64
1989,1,36.0,6689,6229,3751,3939,2506,810,117,1795
1989,1,37.0,1979,1863,1219,1119,623,181,40,660
1989,1,38.0,1705,1559,919,1007,659,253,36,390
1989,1,39.0,6885,6467,3354,4314,3021,949,139,1575
1989,1,40.0,580,536,276,363,259,96,9,113
1989,1,41.0,2289,2280,1425,1322,769,235,33,785
1989,1,42.0,481,457,258,315,189,68,11,97
1989,1,43.0,2979,2917,1890,1596,936,323,39,1112
1989,1,44.0,12564,11960,7250,7449,4376,1443,207,3799
1989,1,45.0,1384,1344,817,863,559,161,44,284
1989,1,46.0,368,307,166,234,144,65,9,57
1989,1,47.0,3996,3719,2085,2366,1634,588,118,924
1989,1,48.0,3000,2880,1519,1881,1339,467,66,608
1989,1,49.0,915,877,585,521,261,81,14,330
1989,1,50.0,2917,2724,1458,1982,1195,362,62,582
1989,1,51.0,280,271,169,171,105,38,6,62
1989,1,52.0,1,0,0,0,0,0,1,0
1989,1,53.0,1,3,1,3,0,0,0,0
1989,1,55.0,0,1,1,0,0,0,0,0
1989,1,57.0,176,148,77,121,63,22,8,33
1989,1,59.0,29,20,4,23,15,6,0,1
1989,2,1.0,2420,2348,1516,1377,752,219,38,866
1989,2,2.0,454,494,244,299,201,100,13,91
1989,2,3.0,2626,2424,1433,1554,1001,303,59,700
1989,2,4.0,1412,1283,916,716,370,119,25,549
1989,2,5.0,21193,20299,10724,12894,8964,3650,620,4640
1989,2,6.0,2046,1962,941,1291,929,335,52,460
1989,2,7.0,1891,1760,735,1224,992,329,41,330
1989,2,8.0,416,386,215,263,151,51,5,117
1989,2,9.0,448,453,246,211,188,81,13,162
1989,2,10.0,7356,6986,3928,4482,2883,941,144,1964
1989,2,11.0,4287,4029,2484,2416,1481,436,82,1417
1989,2,12.0,740,691,387,398,331,139,26,150
1989,2,13.0,555,542,341,335,185,90,12,134
1989,2,14.0,7314,7137,3568,4601,3121,1050,170,1941
1989,2,15.0,3188,3011,1849,1976,1119,301,49,905
1989,2,16.0,1504,1433,839,1011,588,185,28,286
1989,2,17.0,1503,1437,798,987,612,173,18,352
1989,2,18.0,2154,1905,1319,1187,621,202,22,708
1989,2,19.0,2831,2705,1650,1623,894,311,53,1005
1989,2,20.0,657,634,371,426,246,102,11,135
1989,2,21.0,2890,2835,1392,1851,1315,468,69,630
1989,2,22.0,3505,3290,1371,2276,1816,642,96,594
1989,2,23.0,5595,5326,2929,3617,2178,681,83,1433
1989,2,24.0,2453,2454,1134,1827,1192,337,44,373
1989,2,25.0,1683,1623,1054,862,489,149,22,730
1989,2,26.0,3006,2838,1657,1887,1093,338,46,823
1989,2,27.0,437,439,265,288,164,54,10,95
1989,2,28.0,897,875,457,653,371,118,13,160
1989,2,29.0,711,681,391,456,270,98,10,167
1989,2,30.0,642,670,308,488,314,101,14,87
1989,2,31.0,4623,4365,1871,2973,2396,799,127,822
1989,2,32.0,1058,974,612,602,333,142,19,324
1989,2,33.0,11090,10352,5035,6885,5132,1966,350,2074
1989,2,34.0,3884,3655,2263,2290,1290,391,59,1246
1989,2,35.0,377,367,195,279,174,36,10,50
1989,2,36.0,6389,6017,3423,3924,2461,752,100,1746
1989,2,37.0,1835,1846,1138,1162,603,170,26,582
1989,2,38.0,1584,1425,786,962,635,238,39,349
1989,2,39.0,6548,6013,3109,4100,2865,944,125,1418
1989,2,40.0,587,525,286,373,249,72,7,125
1989,2,41.0,2198,2124,1373,1263,673,215,25,773
1989,2,42.0,448,379,236,280,164,43,13,91
1989,2,43.0,2828,2810,1699,1661,920,264,41,1053
1989,2,44.0,11650,11242,6685,6906,4179,1363,223,3536
1989,2,45.0,1354,1286,788,891,503,178,29,251
1989,2,46.0,306,282,149,196,138,41,10,54
1989,2,47.0,3690,3486,1876,2256,1520,512,75,937
1989,2,48.0,2777,2724,1445,1756,1265,436,53,546
1989,2,49.0,836,802,551,417,277,74,15,304
1989,2,50.0,2707,2658,1344,1929,1140,364,44,544
1989,2,51.0,282,244,165,173,85,47,4,52
1989,2,52.0,1,2,1,0,1,0,0,1
1989,2,53.0,1,0,0,0,1,0,0,0
1989,2,55.0,7,7,2,1,5,5,0,1
1989,2,57.0,150,159,89,105,60,26,5,24
1989,2,59.0,23,16,6,8,19,5,0,1
1989,3,1.0,2711,2492,1573,1569,820,286,42,913
1989,3,2.0,465,479,236,296,214,95,7,96
1989,3,3.0,2912,2638,1610,1707,1078,390,65,700
1989,3,4.0,1550,1467,1070,811,416,140,11,569
1989,3,5.0,23836,22639,11889,14417,10248,3899,701,5321
1989,3,6.0,2273,2206,1095,1415,998,423,52,496
1989,3,7.0,2176,2014,839,1377,1157,421,41,355
1989,3,8.0,442,430,251,261,180,64,7,109
1989,3,9.0,486,465,254,229,185,88,21,174
1989,3,10.0,8376,7769,4373,4965,3190,1203,174,2240
1989,3,11.0,4669,4517,2733,2668,1569,515,82,1619
1989,3,12.0,842,758,463,447,373,147,12,158
1989,3,13.0,672,665,394,426,263,83,18,153
1989,3,14.0,8232,7811,3840,5133,3591,1203,166,2110
1989,3,15.0,3756,3402,2115,2245,1273,392,42,1091
1989,3,16.0,1735,1659,927,1179,684,196,30,378
1989,3,17.0,1724,1557,912,1100,657,205,27,380
1989,3,18.0,2345,2192,1459,1272,741,215,42,808
1989,3,19.0,3043,2977,1813,1777,1036,305,42,1047
1989,3,20.0,786,683,436,488,302,89,16,138
1989,3,21.0,3400,3213,1520,2155,1590,531,85,732
1989,3,22.0,4023,3865,1608,2694,2055,757,112,662
1989,3,23.0,6428,5999,3181,4113,2544,822,91,1676
1989,3,24.0,2940,2802,1290,2134,1388,450,54,426
1989,3,25.0,1820,1697,1081,993,503,145,23,772
1989,3,26.0,3389,3154,1798,2152,1217,383,56,937
1989,3,27.0,526,486,254,332,244,76,9,97
1989,3,28.0,1073,986,556,722,460,113,15,193
1989,3,29.0,792,778,472,532,274,87,16,189
1989,3,30.0,754,832,375,563,402,124,20,102
1989,3,31.0,5345,5062,2069,3462,2845,953,143,935
1989,3,32.0,1131,1149,638,671,437,137,27,370
1989,3,33.0,12413,11955,5623,7829,5991,2249,378,2298
1989,3,34.0,4429,4166,2589,2558,1481,492,61,1414
1989,3,35.0,391,396,191,294,186,51,10,55
1989,3,36.0,7252,6965,3830,4502,2898,817,112,2058
1989,3,37.0,2101,1872,1231,1252,652,170,30,638
1989,3,38.0,1822,1716,1012,1047,747,279,27,426
1989,3,39.0,7397,7195,3588,4733,3455,1057,158,1601
1989,3,40.0,624,611,298,407,274,96,15,145
1989,3,41.0,2409,2349,1446,1388,810,285,26,803
1989,3,42.0,499,469,268,331,212,53,10,94
1989,3,43.0,3101,3031,1860,1855,1004,322,34,1057
1989,3,44.0,13139,12809,7388,7964,4841,1475,212,4068
1989,3,45.0,1642,1488,943,1003,635,209,35,305
1989,3,46.0,379,386,216,222,182,73,7,65
1989,3,47.0,4188,3985,2140,2583,1761,631,95,963
1989,3,48.0,3320,3169,1662,2095,1381,543,85,723
1989,3,49.0,953,926,605,538,278,99,19,340
